gene,modality,adt_number ,Heatmap,cluster,comparison,source,notes
CD27,ADT,A0154,1,all B cell clusters,ND_AAb_T1D,flow,
CD74,ADT,A0935,1,all B cell clusters,ND_AAb_T1D,WGCNA module 8,
HLA-DRA,ADT,A0159,1,all B cell clusters,ND_AAb_T1D,WGCNA module 8,
CD20,ADT,A0100,1,all B cell clusters,ND_AAb_T1D,WGCNA module 8,
CD83,ADT,A0359,1,all B cell clusters,ND_AAb_T1D,WGCNA module 8,
"HLA-DR, DP, DQ",ADT,A1018,1,all B cell clusters,ND_AAb_T1D,WGCNA module 8,
IgD,ADT,A0384,1,all B cell clusters,ND_AAb_T1D,flow,
IgM,ADT,A0136,1,all B cell clusters,ND_AAb_T1D,flow,
IgE,ADT,A0868,1,all B cell clusters,ND_AAb_T1D,flow,
CD79b (Igβ),ADT,A0187,1,all B cell clusters,ND_AAb_T1D,flow,
CD21,ADT,A0181,1,all B cell clusters,ND_AAb_T1D,https://www.nature.com/articles/s41577-020-00446-2#Sec3,
CD27,RNA,,4,all B cell clusters,ND_AAb_T1D,flow,
ST6GAL1,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
MARCKS,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
SIPA1L1,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
CDK14,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
TCF4,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
RALGPS2,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
GNG7,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
AFF3,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
BASP1,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
HLA-DPB1,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
EBF1,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
HLA-DPA1,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
HLA-DQB1,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
HLA-DQA1,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
CD83,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
PLEKHG1,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
SWAP70,RNA,,2,all B cell clusters,ND_AAb_T1D,WGCNA module 8,filter out genes with none/extremely low gene expression
