Channel,Antigen,Type,,,,,,,
FJComp-379_28 UV-A,CD11c,,,,,,,,
FJComp-450_50 Violet-A,PD1,,,,,,,,
FJComp-470_15 Violet-A,CD14,,,,,,,,
FJComp-515_20 Blue-A,CD15,,,,,,,,
FJComp-515_20 Violet-A,LD Aqua,,,,,,,,
FJComp-515_30 UV-A,CD8,,,,,,,,
FJComp-586_15 UV-A,CD45RA,,,,,,,,
FJComp-586_15 Violet-A,CD56,,,,,,,,
FJComp-586_15 YG-A,CD123,,,,,,,,
FJComp-610_20 Violet-A,HLA-DR,,,,,,,,
FJComp-610_20 YG-A,CD127,,,,,,,,
FJComp-660_20 Red-A,CXCR5,,,,,,,,
FJComp-660_20 UV-A,CD38,,,,,,,,
FJComp-660_20 Violet-A,CD27,,,,,,,,
FJComp-660_40 YG-A,CD69,,,,,,,,
FJComp-710_50 Violet-A,CD16,,,,,,,,
FJComp-710_50 YG-A,CD34,,,,,,,,
FJComp-730_45 Red-A,CD45,,,,,,,,
FJComp-740_35 UV-A,CD25,,,,,,,,
FJComp-780_60 Blue-A,CD4,,,,,,,,
FJComp-780_60 Red-A,CCR7,,,,,,,,
FJComp-780_60 YG-A,CD21,,,,,,,,
FJComp-800_30 Violet-A,CD19,,,,,,,,
FJComp-820_60 UV-A,CD3,,,,,,,,
