gene,source
IL2RA,https://www.frontiersin.org/articles/10.3389/fimmu.2019.03100/full
IL7R,https://www.frontiersin.org/articles/10.3389/fimmu.2019.03100/full
FOXP3,https://www.frontiersin.org/articles/10.3389/fimmu.2019.03100/full
IL2RB,https://www.frontiersin.org/articles/10.3389/fimmu.2019.03100/full
IKZF2,https://www.nature.com/articles/s41422-020-0324-7
IKZF4,https://www.nature.com/articles/s41422-020-0324-7
CTLA4,https://www.nature.com/articles/s41422-020-0324-7
TNFRSF18,https://www.nature.com/articles/s41422-020-0324-7
ICOS,https://www.nature.com/articles/s41422-020-0324-7
TIGIT,https://www.nature.com/articles/s41422-020-0324-7
IRF4,https://www.nature.com/articles/s41422-020-0324-7
PRDM1,https://www.nature.com/articles/s41422-020-0324-7
BATF,https://www.nature.com/articles/s41422-020-0324-7
BACH2,https://www.frontiersin.org/articles/10.3389/fimmu.2019.03100/full
BCL6,https://www.frontiersin.org/articles/10.3389/fimmu.2019.03100/full
