umap_1,umap_2,OmiqFilter
3.1746,-13.196,CD8/Tnaive/Tn
10.754,2.5789,CD4/Tcm
-2.4162,1.3948,Non-Plasmablasts
-6.8924,6.9164,Non-Plasmablasts
8.9115,4.1604,CD4/Tem
3.6224,2.8958,CD4/Tcm
4.2583,2.0031,CD4/Tcm
9.461,2.7973,CD4/Tem
5.8238,3.96,CD4/Tcm
6.5566,1.2202,CD4/Tcm
7.0291,1.5494,CD4/Tcm
5.2862,8.342,CD4/Tnaive/Tn
-8.448,5.2863,Non-Plasmablasts
4.5688,7.5586,CD4/Tnaive/Tn
9.3457,1.7527,CD4/Tem
-6.9545,8.1438,Non-Plasmablasts
-6.1892,5.6989,Non-Plasmablasts
5.7045,6.512,CD4/Tcm
5.6162,3.5355,CD4/Tcm
5.7733,-6.5455,CD8/Tem
5.5395,-9.1815,CD8/Tcm
5.6905,8.4807,CD4/Tcm
5.4904,-9.384,CD8/Tcm
9.0266,3.9249,CD4/Tem
8.3769,6.4424,CD4/Tnaive/Tn-like
5.3992,3.7784,CD4/Tcm
3.5279,-11.679,CD8/Tnaive/Tn
4.4824,0.22103,CD4/Tem
5.0726,-8.3722,CD8/Tem
-5.8599,5.7983,Non-Plasmablasts
4.4259,1.6861,CD4/Tem
-4.1756,6.6373,Non-Plasmablasts
3.6374,-10.992,CD8/Tnaive/Tn
4.9157,0.98357,CD4/Tem
3.5363,-11.676,CD8/Tnaive/Tn
-7.2397,4.7118,Non-Plasmablasts
6.3784,3.0564,CD4/Tcm
6.8562,6.7537,CD4/Tcm
4.9946,7.4487,CD4/Tnaive/Tn
3.9066,-13.259,CD8/Tnaive/Tn
-4.3598,6.5995,Non-Plasmablasts
4.8656,8.2475,CD4/Tnaive/Tn
5.7596,5.1953,CD4/Tcm
10.338,2.7726,CD4/Tcm
5.9947,4.1366,CD4/Tcm
9.4307,4.0454,CD4/Tcm
-4.8344,8.0525,Non-Plasmablasts
-5.5518,5.8409,Non-Plasmablasts
6.241,3.207,CD4/Tcm
8.9484,3.8206,CD4/Tem
-8.3492,4.6664,Non-Plasmablasts
6.0322,3.2963,CD4/Tcm
5.3482,3.9681,CD4/Tcm
5.9038,7.1143,CD4/Tcm
-6.9805,5.4913,Non-Plasmablasts
-8.1935,7.1935,Non-Plasmablasts
3.9693,1.7052,CD4/Tcm
10.538,3.2426,CD4/Tem
-4.9323,8.3789,Non-Plasmablasts
6.5368,1.4435,CD4/Tem
9.1376,4.0323,CD4/Tem
5.5148,8.9657,CD4/Tnaive/Tn
3.3571,2.1058,CD4/Tem
4.4114,-11.083,CD8/Tcm
5.7954,0.25448,CD4/Tem
3.6146,2.3097,CD4/Tcm
-6.8,8.0153,Non-Plasmablasts
8.7379,4.8378,CD4/Tcm
5.383,-9.6962,CD8/Tcm
7.1604,2.5626,CD4/Tcm
-8.0978,5.3489,Non-Plasmablasts
-4.3816,6.5215,Non-Plasmablasts
8.4659,3.6621,CD4/Tcm
-7.1967,3.5462,Non-Plasmablasts
3.3231,-12.913,CD8/Tnaive/Tn
5.5939,-7.0692,CD8/Tem
-4.3454,6.9373,Non-Plasmablasts
-8.5457,5.8276,Non-Plasmablasts
8.0715,3.541,CD4/Tem
3.495,-13.179,CD8/Tnaive/Tn
5.1293,-12.078,CD8/Tnaive/Tn
6.0055,-6.5666,CD8/Tem
5.7773,8.2861,CD4/Tnaive/Tn
3.474,1.3292,CD4/Tcm
5.2271,7.4028,CD4/Tnaive/Tn
3.9044,2.7196,CD4/Tcm
9.0191,5.1464,CD4/Tcm
9.1436,5.0019,CD4/Tem
5.788,4.7758,CD4/Tcm
5.8961,-8.0846,CD8/Tem
3.6617,-12.184,CD8/Tnaive/Tn
4.58,5.3413,CD4/Tcm
4.7299,2.5467,CD4/Tcm
10.254,3.3834,CD4/Tcm
4.2013,-11.789,CD8/Tnaive/Tn
4.5186,-9.5822,CD8/Tcm
4.015,0.64618,CD4/Tcm
6.5963,7.2796,CD4/Tnaive/Tn
7.8307,3.4362,CD4/Tcm
6.5865,1.6358,CD4/Tcm
4.9042,3.1056,CD4/Tcm
8.591,2.3234,CD4/Tcm
5.5022,9.0008,CD4/Tnaive/Tn
5.3864,1.3181,CD4/Tem
-6.079,9.0649,Non-Plasmablasts
-8.9542,6.6396,Non-Plasmablasts
8.2133,3.4207,CD4/Tem
-5.9543,4.2068,Non-Plasmablasts
5.9756,-7.8246,CD8/Tem
-7.1215,8.7792,Non-Plasmablasts
-5.7757,5.4752,Non-Plasmablasts
7.1033,4.627,CD4/Tnaive/Tn-like
4.786,-10.752,CD8/Tcm
-4.427,7.3657,Non-Plasmablasts
-5.9981,5.7416,Non-Plasmablasts
-7.06,4.1656,Non-Plasmablasts
-6.0552,6.428,Non-Plasmablasts
8.8304,4.7685,CD4/Tcm
6.6451,8.1646,CD4/Tnaive/Tn
-4.5588,7.0778,Non-Plasmablasts
4.7967,-9.9919,CD8/Tcm
-7.2338,4.1998,Non-Plasmablasts
-5.8827,6.3663,Non-Plasmablasts
4.8041,1.1443,CD4/Tem
5.5916,8.12,CD4/Tnaive/Tn
5.6942,4.0377,CD4/Tcm
-7.7573,6.7689,Non-Plasmablasts
6.4524,1.9196,CD4/Tem
6.5624,6.9074,CD4/Tnaive/Tn
9.7104,4.2108,CD4/Tcm
3.2937,-9.4993,CD8/Temra
-6.7713,9.4398,Non-Plasmablasts
4.7314,-13.056,CD8/Tnaive/Tn
8.1584,1.8554,CD4/Tcm
6.4208,-8.2021,CD8/Tem
8.2,4.3536,CD4/Tcm
-4.6698,6.6442,Non-Plasmablasts
3.2101,-11.565,CD8/Tcm
5.7925,7.8692,CD4/Tnaive/Tn
7.9663,6.3934,CD4/Tnaive/Tn
3.4966,2.4442,CD4/Tcm
7.35,5.7446,CD4/Tcm
8.1251,4.7431,CD4/Tcm
5.0975,-12.673,CD8/Tnaive/Tn
9.7446,3.8833,CD4/Tcm
4.7206,8.7244,CD4/Tnaive/Tn
5.6373,8.8732,CD4/Tnaive/Tn
3.544,2.4876,CD4/Tcm
8.8948,4.9853,CD4/Tcm
2.6042,-12.583,CD8/Tnaive/Tn
4.8392,7.4575,CD4/Tnaive/Tn
2.7144,-11.996,CD8/Tnaive/Tn
7.3378,4.3905,CD4/Tcm
-6.7197,6.7475,Non-Plasmablasts
5.0884,-10.113,CD8/Tcm
4.7307,7.5319,CD4/Tnaive/Tn
6.8848,7.7371,CD4/Tcm
5.0975,8.0835,CD4/Tnaive/Tn
5.7661,3.7109,CD4/Tcm
3.6869,-13.109,CD8/Tnaive/Tn
5.353,-9.5529,CD8/Tcm
4.0542,-12.398,CD8/Tnaive/Tn
4.1738,-11.066,CD8/Tcm
7.0792,7.6156,CD4/Tnaive/Tn
3.259,-11.921,CD8/Tnaive/Tn
4.225,-9.5512,CD8/Tcm
6.6099,1.33,CD4/Tcm
-6.5568,7.9562,Non-Plasmablasts
-7.0979,7.5563,DCs
-6.9348,5.7383,Non-Plasmablasts
8.3926,1.4481,CD4/Tem
4.7419,-12.6,CD8/Tnaive/Tn
6.2321,7.949,CD4/Tnaive/Tn
8.4516,5.9892,CD4/Tcm
6.1857,2.9419,CD4/Tcm
-1.585,-5.965,NK cells
5.6463,4.7606,CD4/Tcm
-5.2092,6.2805,Non-Plasmablasts
5.0936,1.6612,CD4/Tem
6.044,8.082,CD4/Tnaive/Tn
-7.2814,4.8167,Non-Plasmablasts
8.6014,6.4745,CD4/Tnaive/Tn-like
4.2498,-11.477,CD8/Tnaive/Tn
8.377,2.3824,CD4/Tcm
-7.6593,5.204,Non-Plasmablasts
4.4258,-7.3564,CD8/Tem
8.328,3.6453,CD4/Tem
-8.2527,5.3866,Non-Plasmablasts
-5.675,7.8306,Non-Plasmablasts
-6.6092,8.4221,Non-Plasmablasts
6.6577,2.2604,CD4/Tcm
7.0282,6.8234,CD4/Tcm
-6.3876,7.9702,Non-Plasmablasts
6.3011,2.0114,CD4/Tcm
-5.1191,5.2823,Non-Plasmablasts
5.403,-8.5764,CD8/Tem
4.3759,8.3629,CD4/Tnaive/Tn
-8.0032,4.8371,Non-Plasmablasts
9.0579,3.9153,CD4/Tem
-6.7072,5.4725,Non-Plasmablasts
4.0399,-12.127,CD8/Tcm
3.9152,-12.64,CD8/Tnaive/Tn
-8.6843,6.4095,Non-Plasmablasts
8.5869,4.606,CD4/Tem
-4.1926,5.9186,Non-Plasmablasts
5.6249,7.4505,CD4/Tnaive/Tn
4.3139,1.9305,CD4/Tcm
2.9515,-11.928,CD8/Tnaive/Tn
5.3564,4.1079,CD4/Tcm
6.3695,-6.6049,CD8/Tem
-5.1235,8.4582,Non-Plasmablasts
7.1331,3.1823,CD4/Tcm
6.9049,7.0353,CD4/Tcm
-8.5311,5.8222,DCs
-6.6451,4.7857,Non-Plasmablasts
5.7408,3.068,CD4/Tcm
-5.8977,7.5351,Non-Plasmablasts
6.1734,3.0554,CD4/Tcm
-6.7071,6.3094,Non-Plasmablasts
5.1819,7.5075,CD4/Tcm
6.2094,3.0732,CD4/Tcm
-8.051,7.0291,Non-Plasmablasts
10.344,2.6629,CD4/Tcm
8.4242,1.1572,CD4/Tem
-6.8224,7.1193,Non-Plasmablasts
7.4673,3.7512,CD4/Tcm
4.7296,-8.7113,CD8/Tem
5.5016,4.4488,CD4/Tcm
3.3726,-13.208,CD8/Tnaive/Tn
3.6937,-13.194,CD8/Tnaive/Tn
8.8163,4.6418,CD4/Tem
-1.7581,-5.0226,ILCs
-6.9205,6.1067,Non-Plasmablasts
-8.9071,5.8518,Non-Plasmablasts
-7.4591,5.9132,Non-Plasmablasts
4.8688,-9.8927,CD8/Tcm
7.5273,4.582,CD4/Tcm
5.1321,8.8172,CD4/Tnaive/Tn
10.488,2.2611,CD4/Tcm
3.7122,-11.516,CD8/Tcm
3.9934,2.6507,CD4/Tcm
-4.7418,6.4375,Non-Plasmablasts
10.105,2.5803,CD4/Tcm
5.4129,-7.5692,CD8/Tem
5.3376,8.7975,CD4/Tnaive/Tn
-6.3437,7.3715,Non-Plasmablasts
5.9787,7.1077,CD4/Tnaive/Tn
-6.9115,2.8813,Non-Plasmablasts
5.2878,0.52881,CD4/Tem
-5.3652,5.5393,Non-Plasmablasts
4.2234,-9.1538,CD8/Tnaive/Tn-like
2.5122,-4.3558,ILCs
5.375,8.0554,CD4/Tnaive/Tn
4.5236,5.3603,CD4/Tcm
4.6949,7.1503,CD4/Tnaive/Tn
-7.3037,6.1181,Non-Plasmablasts
-8.7863,6.7904,Non-Plasmablasts
6.5839,-7.7009,CD8/Tem
-7.617,3.611,Non-Plasmablasts
4.5573,8.7793,CD4/Tnaive/Tn
-5.6647,7.018,Non-Plasmablasts
7.4637,3.4823,CD4/Tcm
4.9814,0.65173,CD4/Tem
5.0247,-9.6837,CD8/Tcm
5.1482,-9.8448,CD8/Tcm
5.9196,-7.7609,CD8/Tem
6.1297,-6.6145,CD8/Tem
5.1938,1.1205,CD4/Tem
3.9872,-13.335,CD8/Tnaive/Tn
8.956,4.7841,CD4/Tem
5.3434,-8.1378,CD8/Tem
-6.5682,7.0993,Non-Plasmablasts
9.2977,4.7596,CD4/Tem
-6.6281,8.4948,Non-Plasmablasts
-5.275,5.2916,Non-Plasmablasts
7.3368,6.6362,CD4/Tcm
3.8589,-10.036,CD8/Tnaive/Tn
3.357,1.4956,CD4/Tcm
8.6046,4.4301,CD4/Tcm
-7.2158,7.5873,Non-Plasmablasts
-5.9979,8.5113,Non-Plasmablasts
-7.94,7.3999,Non-Plasmablasts
4.3511,-12.15,CD8/Tnaive/Tn
-8.6747,7.0069,Non-Plasmablasts
5.242,-11.534,CD8/Tnaive/Tn
4.9605,0.84587,CD4/Tem
5.4983,7.0459,CD4/Tnaive/Tn
-4.1686,6.5683,Non-Plasmablasts
5.8486,-8.326,CD8/Tcm
-8.3265,6.7114,Non-Plasmablasts
-4.6977,7.6081,Non-Plasmablasts
8.966,5.5578,CD4/Tcm
-7.3802,8.4886,Non-Plasmablasts
-4.6278,6.8497,Non-Plasmablasts
-7.9944,7.1846,Non-Plasmablasts
5.9352,6.7632,CD4/Tcm
5.8631,4.557,CD4/Tcm
-6.8858,6.0094,Non-Plasmablasts
7.403,0.71655,CD4/Tcm
3.8526,0.41993,CD4/Tem
10.54,2.887,CD4/Tem
-6.0383,6.8227,Non-Plasmablasts
6.9115,2.3064,CD4/Tem
5.9365,-6.5884,CD8/Tem
-8.1429,5.9084,Non-Plasmablasts
4.0371,-9.3847,CD8/Tcm
8.0711,2.7833,CD4/Tcm
10,2.211,CD4/Tcm
8.0079,6.0495,CD4/Tcm
-7.4668,7.4752,Non-Plasmablasts
5.6854,-8.2821,CD8/Tcm
5.5029,-6.6703,CD8/Tem
4.6425,-8.0456,CD8/Tcm
-7.1984,6.3425,Non-Plasmablasts
3.8788,2.0487,CD4/Tcm
-6.8542,7.0561,Non-Plasmablasts
-6.85,4.7638,Non-Plasmablasts
5.2989,8.231,CD4/Tnaive/Tn
9.2304,2.3659,CD4/Tem
5.4631,-6.2054,CD8/Tem
3.0843,-11.282,CD8/Tnaive/Tn
3.2714,-12.965,CD8/Tnaive/Tn
8.1542,4.1306,CD4/Tem
4.2151,-13.226,CD8/Tnaive/Tn
-11.038,-4.4159,Neutrophils
4.2942,-11.185,CD8/Tcm
4.5953,4.3167,CD4/Tcm
7.8254,3.6453,CD4/Tcm
6.8844,7.2498,CD4/Tcm
4.4135,2.865,CD4/Tcm
4.9802,7.2491,CD4/Tnaive/Tn
3.117,-11.02,CD8/Tnaive/Tn
4.1106,3.3935,CD4/Tcm
-5.4371,7.203,Non-Plasmablasts
4.7848,-10.403,CD8/Tcm
-8.1344,4.0577,Non-Plasmablasts
-8.3473,4.6657,Non-Plasmablasts
7.3761,2.9277,CD4/Tem
4.9858,8.9251,CD4/Tnaive/Tn
7.6006,1.0913,CD4/Tcm
7.286,7.3324,CD4/Tcm
3.7141,1.8556,CD4/Tcm
3.2721,-12.684,CD8/Tnaive/Tn
6.8391,1.9177,CD4/Tem
5.3532,6.9887,CD4/Tnaive/Tn
-1.597,-4.6939,ILCs
-8.003,7.9202,Non-Plasmablasts
-7.4423,8.0207,Non-Plasmablasts
5.8686,3.3777,CD4/Tcm
8.4733,2.7321,CD4/Tem
3.6712,2.1459,CD4/Tcm
9.9544,3.5806,CD4/Tcm
3.7342,-9.0041,CD8/Temra
4.8158,0.88781,CD4/Tem
-6.6279,3.8047,Non-Plasmablasts
4.7154,8.2451,CD4/Tcm
5.8859,5.0416,CD4/Tcm
-1.5624,-5.0454,ILCs
5.9365,2.747,CD4/Tcm
4.4616,0.70614,CD4/Tem
-5.0884,8.0978,Non-Plasmablasts
-6.3126,8.0729,Non-Plasmablasts
-1.2276,-5.5593,NK cells
5.4964,7.6198,CD4/Tnaive/Tn
5.7681,-6.5917,CD8/Tem
5.4201,9.0524,CD4/Tnaive/Tn
-8.5842,4.4527,Non-Plasmablasts
5.1545,-7.7214,CD8/Tem
-5.1181,7.2448,Non-Plasmablasts
5.0294,1.4325,CD4/Tcm
-8.5299,3.6059,Non-Plasmablasts
4.1656,-8.8653,CD8/Tcm
8.0938,3.0245,CD4/Tcm
-5.2277,7.4151,Non-Plasmablasts
9.5194,2.5295,CD4/Tcm
5.2409,-6.5062,CD8/Tem
6.6782,7.9598,CD4/Tnaive/Tn
4.3026,0.73486,CD4/Tcm
7.3764,3.5944,CD4/Tcm
-7.5814,5.3433,Non-Plasmablasts
4.8889,0.98599,CD4/Tem
6.3157,8.5824,CD4/Tnaive/Tn
-6.615,5.7345,Non-Plasmablasts
6.3501,7.083,CD4/Tnaive/Tn-like
10.439,2.3883,CD4/Tcm
-4.9532,5.5736,Non-Plasmablasts
6.1207,2.8466,CD4/Tcm
4.1633,-13.305,CD8/Tnaive/Tn
5.7104,8.8728,CD4/Tnaive/Tn
5.5984,3.4278,CD4/Tcm
5.4049,-7.8319,CD8/Tem
-7.7613,7.3187,Non-Plasmablasts
-7.5425,5.0558,Non-Plasmablasts
10.052,2.783,CD4/Tcm
4.4204,0.62431,CD4/Tem
-5.949,7.9114,Non-Plasmablasts
6.7437,5.1227,CD4/Tcm
-4.6612,7.8725,Non-Plasmablasts
9.7308,3.7035,CD4/Tem
9.4215,1.4376,CD4/Tem
-8.5106,3.1987,Non-Plasmablasts
3.3891,-10.781,CD8/Tnaive/Tn
4.8295,-9.0321,CD8/Tem
7.514,4.4024,CD4/Tnaive/Tn-like
8.9295,3.3007,CD4/Tem
5.9594,-7.8397,CD8/Tcm
3.9033,-7.9918,CD8/Tem
2.648,-11.87,CD8/Tnaive/Tn
-6.9753,9.1138,Non-Plasmablasts
3.8857,-11.002,CD8/Tnaive/Tn
-6.3293,7.3802,Non-Plasmablasts
8.0782,3.2381,CD4/Tcm
8.8479,1.9167,CD4/Tcm
-3.8293,-6.011,Immature granulocytes
-6.5529,8.5779,Non-Plasmablasts
6.2984,3.013,CD4/Tcm
-5.5616,7.7815,Non-Plasmablasts
10.141,2.2304,CD4/Tcm
4.6657,-12.541,CD8/Tnaive/Tn
-6.2632,5.1988,Non-Plasmablasts
-6.2132,4.5539,Non-Plasmablasts
-8.6264,3.2001,Non-Plasmablasts
4.0554,3.5853,CD4/Tcm
9.6015,3.1223,CD4/Tcm
3.3819,1.9902,CD4/Tcm
6.0723,-8.1117,CD8/Tem
-6.8768,4.8952,Non-Plasmablasts
-6.5482,4.8255,Non-Plasmablasts
-4.8818,7.6537,Non-Plasmablasts
4.6956,3.1079,CD4/Tcm
-7.1474,8.2912,Non-Plasmablasts
3.6421,0.68828,CD4/Tem
5.0106,8.2168,CD4/Tnaive/Tn
5.8759,9.2683,CD4/Tnaive/Tn
5.4771,-8.5714,CD8/Tcm
4.7366,1.4174,CD4/Tcm
5.1411,-12.002,CD8/Tnaive/Tn
-8.7563,3.9283,Non-Plasmablasts
4.8954,0.6698,CD4/Tem
6.4293,7.6941,CD4/Tcm
6.2832,1.9037,CD4/Tcm
5.2423,-9.573,CD8/Tcm
-6.9488,8.3483,Non-Plasmablasts
6.5106,2.5805,CD4/Tcm
4.1427,-12.339,CD8/Tnaive/Tn
5.9819,-8.4747,CD8/Tcm
9.3775,4.34,CD4/Tcm
3.9603,-12.478,CD8/Tnaive/Tn
3.8895,-11.052,CD8/Tnaive/Tn-like
5.8336,6.5845,CD4/Tcm
5.2237,-8.6403,CD8/Tem
-7.6938,6.8324,Non-Plasmablasts
-5.4293,7.1497,Non-Plasmablasts
-7.8145,5.3134,Non-Plasmablasts
4.4992,-13.341,CD8/Tnaive/Tn
6.4759,2.4423,CD4/Tcm
4.5373,3.1446,CD4/Tcm
8.421,5.1465,CD4/Tcm
3.4234,1.0349,CD4/Tem
-7.9898,6.4318,Non-Plasmablasts
4.8934,-9.3904,CD8/Tcm
4.61,-8.854,CD8/Tcm
-8.2491,3.4713,Non-Plasmablasts
5.7039,5.715,CD4/Tcm
