umap_1,umap_2,OmiqFilter
-6.8042,3.7132,Non-Plasmablasts
-5.9901,6.1477,Non-Plasmablasts
7.3096,0.81452,CD4/Tcm
-5.1731,4.2378,Non-Plasmablasts
4.2746,-6.6404,CD8/Tem
-5.8752,7.8622,Non-Plasmablasts
4.8787,2.9748,CD4/Tcm
-2.7332,-8.4103,NK cells
-10.574,-6.5584,Neutrophils
4.9606,-0.051978,CD4/Tem
-3.2856,-8.5189,NK cells
-4.5968,5.7631,Non-Plasmablasts
3.3863,-12.864,CD8/Tnaive/Tn
-10.641,-6.1258,Neutrophils
-9.5159,-4.1961,Neutrophils
-2.7403,-8.897,NK cells
6.0791,6.9528,CD4/Tnaive/Tn
-4.6966,7.2991,Non-Plasmablasts
3.561,-11.04,CD8/Tnaive/Tn
-8.2816,2.8536,Non-Plasmablasts
-6.2202,6.473,Non-Plasmablasts
-5.227,6.8183,Non-Plasmablasts
-7.1939,3.2536,Non-Plasmablasts
-2.8669,-9.3236,NK cells
-10.954,-4.1177,Neutrophils
2.8871,-11.842,CD8/Tnaive/Tn
1.5493,-7.54,CD8/Temra
-6.8689,2.7725,Non-Plasmablasts
1.8552,-8.4615,CD8/Temra
3.8162,-7.4103,CD8/Tem
-1.6747,1.5456,Plasmablasts
-8.1628,6.3084,Non-Plasmablasts
-11.155,-4.8824,Neutrophils
3.8198,-12.433,CD8/Tnaive/Tn
4.6441,-7.7921,CD8/Tem
3.9291,-7.4349,CD8/Tem
-6.0197,3.1616,Non-Plasmablasts
-3.0155,-6.2807,Immature granulocytes
-10.069,-4.2906,Neutrophils
-8.2502,6.7002,Non-Plasmablasts
-10.6,-5.0721,Neutrophils
-7.4716,3.3887,Non-Plasmablasts
-5.7412,5.3932,Non-Plasmablasts
-2.4437,-8.3619,NK cells
-2.0173,1.4082,Plasmablasts
5.8299,2.3604,CD4/Tcm
4.6663,3.2275,CD4/Tcm
-7.3545,4.533,Non-Plasmablasts
9.1596,1.5023,CD4/Tem
-5.639,4.4671,Non-Plasmablasts
-4.4399,6.5983,Non-Plasmablasts
4.206,0.83528,CD4/Tcm
4.4074,2.2906,CD4/Tcm
-5.1856,6.4349,Non-Plasmablasts
6.0229,-0.038708,CD4/Tem
